127.0.0.1, 2014-04-08 17:58:53, GET, /, HTTP/1.1, 303, 0.001822
127.0.0.1, 2014-04-08 17:58:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.897793
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/default/index, HTTP/1.1, 200, 0.106849
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002317
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.001135
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.001370
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001786
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.000747
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000359
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001940
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001626
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003216
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001668
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000321
127.0.0.1, 2014-04-08 17:58:58, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000374
127.0.0.1, 2014-04-08 17:58:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000590
127.0.0.1, 2014-04-08 17:59:00, POST, /admin/default/index, HTTP/1.1, 303, 0.042260
127.0.0.1, 2014-04-08 17:59:00, GET, /admin/default/site, HTTP/1.1, 200, 0.044076
127.0.0.1, 2014-04-08 17:59:01, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000757
127.0.0.1, 2014-04-08 17:59:01, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000438
127.0.0.1, 2014-04-08 17:59:01, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2014-04-08 17:59:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2014-04-08 17:59:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000512
127.0.0.1, 2014-04-08 17:59:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.809936
127.0.0.1, 2014-04-08 17:59:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
127.0.0.1, 2014-04-08 17:59:10, POST, /admin/default/site, HTTP/1.1, 303, 0.137130
127.0.0.1, 2014-04-08 17:59:10, GET, /admin/default/design/kitap, HTTP/1.1, 200, 0.183036
127.0.0.1, 2014-04-08 17:59:10, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000429
127.0.0.1, 2014-04-08 17:59:10, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000378
127.0.0.1, 2014-04-08 17:59:10, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2014-04-08 17:59:10, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-04-08 17:59:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000615
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/default/index, HTTP/1.1, 200, 0.781509
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001418
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/css/calendar.css, HTTP/1.1, 200, 0.003654
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/js/jquery.js, HTTP/1.1, 200, 0.000766
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/js/calendar.js, HTTP/1.1, 200, 0.000836
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000925
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/css/web2py.css, HTTP/1.1, 200, 0.001511
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000625
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/js/web2py.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2014-04-08 17:59:17, GET, /kitap/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000919
